Cross_val1, PCA_comp:200MLP layers: 900,300,300Cross_val1, PCA_comp:200MLP layers: 900,300,300Cross_val1, PCA_comp:200MLP layers: 900,300,300             precision    recall  f1-score   support
Cross_val1, PCA_comp:80MLP layers: 700,300,300             precision    recall  f1-score   support

     class1       0.54      0.78      0.64        40
     class2       0.38      0.29      0.33        31
     class3       0.29      0.30      0.30        40
     class4       0.50      0.60      0.55        15
     class5       0.38      0.43      0.41        30
     class6       0.54      0.60      0.57        47
     class7       0.25      0.08      0.12        25
     class8       0.61      0.58      0.60        24
     class9       0.11      0.07      0.09        28
    class10       0.30      0.37      0.33        38
    class11       0.24      0.24      0.24        33
    class12       0.17      0.16      0.16        25
    class13       0.30      0.23      0.26        13
    class14       0.30      0.30      0.30        27
    class15       0.75      0.81      0.78        26
    class16       0.48      0.41      0.44        34
    class17       0.70      0.81      0.75        48
    class18       0.20      0.18      0.19        38
    class19       0.20      0.23      0.22        48
    class20       0.27      0.18      0.22        22
    class21       0.37      0.40      0.39        47
    class22       0.24      0.26      0.25        43
    class23       0.55      0.48      0.51        44
    class24       0.27      0.31      0.29        48
    class25       0.42      0.37      0.39        35
    class26       0.41      0.47      0.44        15
    class27       0.43      0.35      0.39        34
    class28       0.46      0.46      0.46        35
    class29       0.53      0.44      0.48        18

avg / total       0.39      0.39      0.39       951
Cross_val1, PCA_comp:100MLP layers: 700,300,300             precision    recall  f1-score   support

     class1       0.67      0.72      0.70        40
     class2       0.31      0.29      0.30        31
     class3       0.30      0.33      0.31        40
     class4       0.53      0.53      0.53        15
     class5       0.41      0.43      0.42        30
     class6       0.60      0.66      0.63        47
     class7       0.27      0.16      0.20        25
     class8       0.50      0.62      0.56        24
     class9       0.14      0.11      0.12        28
    class10       0.29      0.34      0.31        38
    class11       0.22      0.24      0.23        33
    class12       0.15      0.16      0.16        25
    class13       0.43      0.23      0.30        13
    class14       0.33      0.30      0.31        27
    class15       0.80      0.77      0.78        26
    class16       0.34      0.29      0.32        34
    class17       0.75      0.81      0.78        48
    class18       0.25      0.21      0.23        38
    class19       0.25      0.31      0.28        48
    class20       0.35      0.32      0.33        22
    class21       0.36      0.34      0.35        47
    class22       0.29      0.30      0.30        43
    class23       0.57      0.57      0.57        44
    class24       0.28      0.31      0.30        48
    class25       0.49      0.49      0.49        35
    class26       0.55      0.40      0.46        15
    class27       0.36      0.26      0.31        34
    class28       0.49      0.54      0.51        35
    class29       0.47      0.44      0.46        18

avg / total       0.40      0.41      0.40       951
Cross_val1, PCA_comp:180MLP layers: 700,300,300             precision    recall  f1-score   support

     class1       0.65      0.80      0.72        40
     class2       0.29      0.32      0.31        31
     class3       0.36      0.30      0.33        40
     class4       0.41      0.47      0.44        15
     class5       0.44      0.47      0.45        30
     class6       0.49      0.64      0.56        47
     class7       0.11      0.08      0.09        25
     class8       0.46      0.50      0.48        24
     class9       0.15      0.14      0.15        28
    class10       0.34      0.32      0.33        38
    class11       0.36      0.24      0.29        33
    class12       0.27      0.28      0.27        25
    class13       0.33      0.23      0.27        13
    class14       0.31      0.33      0.32        27
    class15       0.62      0.69      0.65        26
    class16       0.36      0.29      0.32        34
    class17       0.68      0.75      0.71        48
    class18       0.18      0.18      0.18        38
    class19       0.22      0.21      0.21        48
    class20       0.21      0.23      0.22        22
    class21       0.29      0.36      0.32        47
    class22       0.25      0.26      0.25        43
    class23       0.65      0.55      0.59        44
    class24       0.22      0.21      0.21        48
    class25       0.28      0.29      0.28        35
    class26       0.40      0.40      0.40        15
